,0,label
431,"[1, 60, 0]",310
432,"[1, 60, 0]",310
433,"[1, 60, 0]",310
434,"[1, 60, 0]",310
435,"[1, 60, 0]",310
436,"[1, 60, 0]",310
437,"[1, 60, 0]",310
438,"[1, 60, 0]",310
439,"[1, 60, 0]",310
440,"[1, 60, 0]",310
441,"[1, 60, 0]",310
442,"[1, 60, 0]",310
443,"[1, 60, 0]",310
444,"[1, 60, 0]",310
445,"[1, 60, 0]",310
446,"[1, 60, 0]",310
447,"[1, 60, 0]",310
448,"[1, 60, 0]",310
449,"[1, 60, 0]",310
450,"[1, 60, 0]",310
451,"[1, 60, 0]",310
452,"[1, 60, 0]",310
453,"[1, 60, 0]",310
454,"[1, 60, 0]",310
455,"[1, 60, 0]",310
456,"[1, 60, 0]",310
457,"[1, 60, 0]",310
458,"[1, 60, 0]",310
459,"[1, 60, 0]",310
460,"[1, 60, 0]",310
461,"[1, 60, 0]",310
462,"[1, 60, 0]",310
463,"[1, 60, 0]",310
464,"[1, 60, 0]",310
465,"[1, 60, 0]",310
466,"[1, 60, 0]",310
467,"[1, 60, 0]",310
468,"[1, 60, 0]",310
469,"[1, 60, 0]",310
470,"[1, 60, 0]",310
471,"[1, 60, 0]",310
472,"[1, 60, 0]",310
473,"[1, 60, 0]",310
474,"[1, 60, 0]",310
475,"[1, 60, 0]",310
476,"[1, 60, 0]",310
477,"[1, 60, 0]",310
478,"[1, 60, 0]",310
479,"[1, 60, 0]",310
480,"[1, 60, 0]",310
481,"[1, 60, 0]",310
482,"[1, 60, 0]",310
483,"[1, 60, 0]",310
484,"[1, 60, 0]",310
485,"[1, 60, 0]",310
486,"[1, 60, 0]",310
487,"[1, 60, 0]",310
488,"[1, 60, 0]",310
489,"[1, 60, 0]",310
490,"[1, 60, 0]",310
491,"[1, 60, 0]",310
492,"[1, 60, 0]",310
493,"[1, 60, 0]",310
494,"[1, 60, 0]",310
495,"[1, 60, 0]",310
496,"[1, 60, 0]",310
497,"[1, 60, 0]",310
498,"[1, 60, 0]",310
499,"[1, 60, 0]",310
500,"[1, 60, 0]",311
501,"[1, 60, 0]",311
502,"[1, 60, 0]",311
503,"[1, 60, 0]",311
504,"[1, 60, 0]",311
505,"[1, 60, 0]",311
506,"[1, 60, 0]",311
507,"[1, 60, 0]",311
508,"[1, 60, 0]",311
509,"[1, 60, 0]",311
510,"[1, 60, 0]",311
511,"[1, 60, 0]",311
512,"[1, 60, 0]",311
513,"[1, 60, 0]",311
514,"[1, 60, 0]",311
515,"[1, 60, 0]",311
516,"[1, 60, 0]",311
517,"[1, 60, 0]",311
518,"[1, 118, 0]",311
519,"[1, 118, 0]",311
520,"[1, 118, 0]",311
521,"[1, 118, 0]",311
522,"[1, 118, 0]",311
523,"[1, 118, 0]",311
524,"[1, 266, 0]",311
525,"[1, 118, 0]",311
526,"[1, 60, 0]",311
527,"[1, 60, 0]",311
528,"[1, 60, 0]",311
529,"[1, 60, 0]",311
530,"[1, 60, 0]",311
531,"[1, 60, 0]",311
532,"[1, 60, 0]",311
533,"[1, 60, 0]",311
534,"[1, 60, 0]",311
535,"[1, 60, 0]",311
536,"[1, 60, 0]",311
537,"[1, 60, 0]",311
538,"[1, 60, 0]",311
539,"[1, 60, 0]",311
540,"[1, 60, 0]",311
541,"[1, 60, 0]",311
542,"[1, 60, 0]",311
543,"[1, 60, 0]",311
544,"[1, 60, 0]",311
545,"[1, 60, 0]",311
546,"[1, 60, 0]",311
547,"[1, 60, 0]",311
548,"[1, 60, 0]",311
549,"[1, 60, 0]",311
550,"[1, 60, 0]",311
551,"[1, 60, 0]",311
552,"[1, 60, 0]",311
553,"[1, 60, 0]",311
554,"[1, 60, 0]",311
555,"[1, 60, 0]",311
556,"[1, 60, 0]",311
557,"[1, 60, 0]",311
558,"[1, 60, 0]",311
559,"[1, 60, 0]",311
560,"[1, 60, 0]",311
561,"[1, 60, 0]",311
562,"[1, 60, 0]",311
563,"[1, 60, 0]",311
564,"[1, 60, 0]",311
565,"[1, 60, 0]",311
566,"[1, 60, 0]",311
567,"[1, 60, 0]",311
568,"[1, 60, 0]",311
569,"[1, 60, 0]",311
570,"[1, 60, 0]",311
571,"[1, 60, 0]",311
572,"[1, 60, 0]",311
573,"[1, 60, 0]",311
574,"[1, 60, 0]",311
575,"[1, 60, 0]",311
576,"[1, 60, 0]",311
577,"[1, 60, 0]",311
578,"[1, 60, 0]",311
579,"[1, 60, 0]",311
580,"[1, 60, 0]",311
581,"[1, 60, 0]",311
582,"[1, 60, 0]",311
583,"[1, 60, 0]",311
584,"[1, 60, 0]",311
585,"[1, 60, 0]",311
586,"[1, 60, 0]",311
587,"[1, 60, 0]",311
588,"[1, 60, 0]",311
589,"[1, 60, 0]",311
590,"[1, 60, 0]",311
591,"[1, 60, 0]",311
592,"[1, 60, 0]",311
593,"[1, 60, 0]",311
594,"[1, 60, 0]",311
595,"[1, 60, 0]",311
596,"[1, 60, 0]",311
597,"[1, 60, 0]",311
598,"[1, 60, 0]",311
599,"[1, 60, 0]",311
600,"[1, 270, 0]",320
601,"[1, 105, 0]",320
602,"[1, 270, 0]",320
603,"[1, 60, 0]",320
604,"[1, 105, 0]",320
605,"[1, 105, 0]",320
606,"[1, 105, 0]",320
607,"[1, 105, 0]",320
608,"[1, 270, 0]",320
609,"[1, 105, 0]",320
610,"[1, 60, 0]",320
611,"[1, 60, 0]",320
612,"[1, 60, 0]",320
613,"[1, 60, 0]",320
614,"[1, 60, 0]",320
615,"[1, 60, 0]",320
616,"[1, 60, 0]",320
617,"[1, 60, 0]",320
618,"[1, 60, 0]",320
619,"[1, 60, 0]",320
620,"[1, 60, 0]",320
621,"[1, 60, 0]",320
622,"[1, 60, 0]",320
623,"[1, 60, 0]",320
624,"[1, 60, 0]",320
625,"[1, 60, 0]",320
626,"[1, 60, 0]",320
627,"[1, 60, 0]",320
628,"[1, 60, 0]",320
629,"[1, 60, 0]",320
630,"[1, 60, 0]",320
631,"[1, 60, 0]",320
632,"[1, 60, 0]",320
633,"[1, 60, 0]",320
634,"[1, 60, 0]",320
635,"[1, 60, 0]",320
636,"[1, 60, 0]",320
637,"[1, 60, 0]",320
638,"[1, 60, 0]",320
639,"[1, 60, 0]",320
640,"[1, 60, 0]",320
641,"[1, 60, 0]",320
642,"[1, 60, 0]",320
