,0,1,2,3,4,label
117,"[1, 32, 0]","[0, 32, 82]","[1, 20, 82]","[1, 1915, 83]","[0, 32, 168]",211
118,"[1, 32, 0]","[0, 32, 80]","[1, 20, 80]","[1, 1915, 81]","[0, 32, 165]",211
119,"[1, 32, 0]","[0, 32, 80]","[1, 20, 80]","[1, 1915, 81]","[0, 32, 175]",211
120,"[1, 150, 0]","[0, 159, 12]","[0, 326, 13]","[0, 51, 13]","[1, 20, 13]",211
121,"[1, 150, 0]","[0, 159, 20]","[0, 330, 20]","[0, 51, 20]","[1, 20, 20]",211
122,"[1, 150, 0]","[0, 159, 15]","[0, 330, 16]","[0, 51, 16]","[1, 20, 16]",211
123,"[1, 219, 0]","[1, 112, 0]","[1, 115, 1]","[0, 20, 10]","[0, 159, 13]",211
124,"[1, 150, 0]","[0, 159, 15]","[0, 330, 15]","[0, 51, 15]","[1, 20, 15]",211
125,"[1, 159, 0]","[1, 330, 0]","[1, 51, 0]","[0, 20, 0]","[0, 143, 52]",211
126,"[1, 150, 0]","[0, 159, 13]","[0, 326, 13]","[1, 20, 13]","[0, 51, 13]",211
127,"[1, 143, 0]","[1, 1146, 1]","[0, 20, 29]","[0, 191, 31]","[1, 166, 63]",211
128,"[1, 143, 0]","[1, 1144, 1]","[0, 20, 13]","[0, 191, 31]","[1, 166, 56]",211
129,"[1, 143, 0]","[1, 1146, 0]","[0, 20, 14]","[0, 191, 21]","[1, 166, 48]",211
130,"[1, 438, 0]","[0, 192, 61]","[0, 1380, 61]","[0, 51, 61]","[0, 1380, 61]",211
131,"[1, 201, 0]","[1, 115, 0]","[1, 55, 0]","[1, 91, 0]","[1, 55, 1]",211
132,"[1, 254, 0]","[0, 532, 30]","[0, 51, 30]","[0, 51, 30]","[0, 32, 30]",211
133,"[1, 143, 0]","[1, 1147, 0]","[0, 20, 13]","[1, 98, 98]","[1, 98, 326]",211
134,"[1, 20, 0]","[1, 20, 2]","[1, 159, 5]","[1, 326, 6]","[1, 51, 6]",211
135,"[1, 84, 0]","[1, 190, 0]","[1, 407, 1]","[0, 532, 14]","[0, 51, 14]",211
136,"[1, 1380, 0]","[1, 98, 13]","[0, 20, 13]","[0, 20, 13]","[0, 159, 13]",211
137,"[1, 20, 0]","[1, 20, 1]","[1, 20, 1]","[1, 20, 1]","[1, 20, 2]",211
138,"[1, 20, 0]","[1, 20, 0]","[1, 159, 0]","[1, 324, 0]","[1, 51, 0]",211
139,"[1, 32, 0]","[0, 32, 305]","[1, 20, 305]","[1, 1915, 307]","[0, 32, 309]",211
140,"[1, 641, 0]","[0, 20, 40]","[0, 20, 40]","[0, 541, 40]","[0, 192, 40]",211
141,"[1, 201, 0]","[1, 55, 0]","[1, 115, 5]","[1, 91, 5]","[1, 55, 5]",211
142,"[1, 201, 0]","[1, 55, 0]","[1, 91, 1]","[1, 55, 7]","[1, 115, 7]",211
143,"[1, 254, 0]","[0, 532, 27]","[0, 51, 27]","[0, 51, 27]","[0, 32, 27]",211
144,"[1, 192, 0]","[1, 1380, 1]","[1, 51, 1]","[0, 20, 1]","[1, 1380, 1]",211
145,"[1, 20, 0]","[1, 20, 0]","[1, 1380, 0]","[1, 1380, 0]","[1, 1380, 0]",211
146,"[1, 192, 0]","[1, 1380, 1]","[0, 20, 1]","[1, 51, 1]","[1, 1380, 1]",211
147,"[1, 32, 0]","[0, 32, 12]","[1, 20, 12]","[1, 1915, 13]","[0, 20, 31]",211
148,"[1, 201, 0]","[1, 55, 1]","[1, 115, 1]","[1, 91, 2]","[1, 55, 2]",211
149,"[1, 32, 0]","[0, 20, 0]","[0, 1915, 1]","[1, 20, 28]","[1, 20, 30]",211
150,"[1, 251, 0]","[0, 32, 1]","[1, 1380, 3]","[0, 32, 3]","[1, 1380, 10]",211
151,"[1, 1380, 0]","[1, 98, 31]","[0, 20, 42]","[0, 159, 42]","[0, 325, 42]",211
152,"[1, 641, 0]","[0, 192, 76]","[0, 1380, 76]","[0, 51, 76]","[0, 1380, 76]",211
153,"[1, 20, 0]","[1, 192, 6]","[1, 1380, 6]","[1, 51, 6]","[1, 1380, 6]",211
154,"[1, 20, 0]","[1, 20, 1]","[1, 159, 3]","[1, 325, 3]","[1, 51, 3]",211
155,"[1, 1380, 0]","[0, 20, 53]","[1, 1380, 68]","[1, 1380, 69]","[1, 252, 69]",211
156,"[1, 20, 0]","[1, 20, 0]","[1, 159, 0]","[1, 324, 0]","[1, 51, 0]",211
157,"[1, 143, 0]","[1, 1145, 0]","[1, 1380, 182]","[1, 98, 208]","[0, 20, 218]",211
158,"[1, 254, 0]","[0, 20, 70]","[0, 20, 70]","[0, 541, 70]","[0, 541, 70]",211
159,"[1, 1380, 0]","[1, 98, 26]","[0, 20, 37]","[0, 20, 37]","[0, 159, 37]",211
160,"[1, 201, 0]","[1, 55, 0]","[1, 115, 5]","[1, 91, 5]","[1, 55, 5]",211
161,"[1, 254, 0]","[0, 20, 48]","[0, 541, 48]","[0, 541, 48]","[0, 32, 48]",211
162,"[1, 98, 0]","[0, 20, 18]","[0, 20, 18]","[0, 159, 18]","[0, 329, 18]",211
163,"[1, 143, 0]","[1, 1147, 0]","[1, 1380, 176]","[1, 98, 193]","[0, 20, 224]",211
164,"[1, 192, 0]","[1, 1380, 0]","[1, 51, 0]","[1, 1380, 0]","[1, 504, 0]",211
165,"[1, 20, 0]","[1, 20, 1]","[1, 159, 5]","[1, 329, 6]","[1, 51, 6]",211
166,"[1, 20, 0]","[0, 201, 12]","[0, 115, 12]","[0, 55, 13]","[0, 91, 16]",211
