,0,1,2,3,4,5,6,7,8,9,label
67,"[1, 192, 0]","[1, 1380, 0]","[1, 51, 0]","[1, 1380, 0]","[1, 51, 0]","[1, 474, 0]","[1, 61, 0]","[1, 51, 0]","[1, 51, 0]","[1, 192, 0]",210
68,"[1, 143, 0]","[1, 1147, 0]","[1, 1380, 154]","[0, 20, 166]","[0, 20, 166]","[0, 182, 166]","[0, 314, 166]","[0, 51, 166]","[0, 51, 166]","[0, 20, 166]",210
69,"[1, 51, 0]","[1, 192, 0]","[0, 32, 0]","[0, 32, 0]","[1, 1380, 12]","[0, 32, 12]","[1, 51, 12]","[1, 1380, 12]","[0, 32, 12]","[0, 32, 12]",210
70,"[1, 84, 0]","[1, 190, 0]","[1, 407, 2]","[0, 20, 12]","[0, 541, 12]","[1, 51, 13]","[0, 20, 39]","[0, 192, 44]","[0, 1380, 47]","[0, 1380, 47]",210
71,"[1, 51, 0]","[1, 192, 0]","[0, 32, 0]","[0, 32, 0]","[1, 1380, 11]","[0, 32, 11]","[1, 51, 12]","[1, 1380, 12]","[1, 546, 12]","[0, 32, 12]",210
72,"[1, 641, 0]","[0, 192, 48]","[0, 1380, 48]","[0, 51, 48]","[0, 1380, 48]","[0, 546, 48]","[0, 51, 48]","[0, 51, 48]","[0, 32, 48]","[0, 735, 48]",210
73,"[1, 201, 0]","[1, 55, 0]","[1, 115, 0]","[1, 91, 0]","[1, 55, 0]","[0, 20, 13]","[0, 20, 13]","[0, 20, 13]","[0, 20, 13]","[0, 20, 13]",210
74,"[1, 51, 0]","[0, 20, 44]","[0, 32, 44]","[1, 407, 68]","[0, 20, 99]","[0, 192, 115]","[0, 1380, 115]","[0, 51, 115]","[0, 1380, 115]","[0, 51, 115]",210
75,"[1, 201, 0]","[1, 55, 1]","[1, 115, 1]","[1, 91, 1]","[1, 55, 1]","[0, 20, 12]","[0, 20, 12]","[0, 159, 13]","[0, 314, 14]","[1, 20, 14]",210
76,"[1, 20, 0]","[0, 201, 73]","[0, 55, 73]","[0, 91, 73]","[0, 55, 73]","[0, 115, 74]","[1, 20, 87]","[1, 20, 87]","[1, 20, 88]","[1, 20, 88]",210
77,"[1, 1380, 0]","[1, 1380, 1]","[0, 20, 1]","[1, 524, 1]","[0, 84, 7]","[0, 190, 8]","[0, 407, 8]","[1, 532, 23]","[1, 51, 23]","[0, 20, 23]",210
78,"[1, 693, 0]","[0, 1380, 59]","[0, 1380, 59]","[0, 524, 59]","[0, 524, 59]","[0, 32, 59]","[0, 1380, 59]","[1, 32, 59]","[1, 32, 59]","[1, 84, 67]",210
79,"[1, 143, 0]","[1, 1145, 0]","[1, 1380, 166]","[0, 20, 181]","[0, 159, 181]","[0, 318, 181]","[0, 51, 181]","[0, 51, 181]","[0, 20, 181]","[0, 191, 181]",210
80,"[1, 32, 0]","[0, 32, 13]","[1, 20, 13]","[1, 693, 14]","[0, 20, 29]","[0, 1380, 32]","[0, 1380, 33]","[0, 525, 33]","[1, 20, 33]","[1, 84, 39]",210
81,"[1, 201, 0]","[1, 55, 1]","[1, 115, 1]","[1, 91, 1]","[1, 55, 1]","[0, 20, 11]","[0, 159, 22]","[0, 314, 22]","[0, 51, 22]","[1, 20, 23]",210
